gene	COG_category
h1SMcG0012543	K
h1SMcG0012544	-
h1SMcG0012545	Z
h1SMcG0012546	G
h1SMcG0012547	-
h1SMcG0012548	T
h1SMcG0012549	-
h1SMcG0012550	-
h1SMcG0012551	Z
h1SMcG0012552	-
h1SMcG0012553	D
h1SMcG0012554	Z
h1SMcG0012555	S
h1SMcG0012556	E
h1SMcG0012557	K
h1SMcG0012558	T
h1SMcG0012559	-
h1SMcG0012560	-
h1SMcG0012561	O
h1SMcG0012562	U
h1SMcG0012563	Z
h1SMcG0012564	D
h1SMcG0012565	W
h1SMcG0012566	-
h1SMcG0012567	T
h1SMcG0012568	OU
h1SMcG0012569	A
h1SMcG0012570	M
h1SMcG0012571	O
h1SMcG0012572	K
h1SMcG0012573	-
h1SMcG0012574	-
h1SMcG0012575	Z
h1SMcG0012576	-
h1SMcG0012577	S
h1SMcG0012578	C
h1SMcG0012579	-
h1SMcG0012580	T
h1SMcG0012581	A
h1SMcG0012582	BD
h1SMcG0012583	A
h1SMcG0012584	-
h1SMcG0012585	C
h1SMcG0012586	-
h1SMcG0012587	S
h1SMcG0012588	-
h1SMcG0012589	-
h1SMcG0012590	-
h1SMcG0012591	-
h1SMcG0012592	-
h1SMcG0012593	-
h1SMcG0012594	-
h1SMcG0012595	-
h1SMcG0012596	T
h1SMcG0012597	O
h1SMcG0012598	S
h1SMcG0012599	S
h1SMcG0012600	-
h1SMcG0012601	T
h1SMcG0012602	S
h1SMcG0012603	S
h1SMcG0012604	U
h1SMcG0012605	-
h1SMcG0012606	-
h1SMcG0012607	-
h1SMcG0012608	S
h1SMcG0012609	-
h1SMcG0012610	T
h1SMcG0012611	-
h1SMcG0012612	K
h1SMcG0012613	T
h1SMcG0012614	T
h1SMcG0012615	S
h1SMcG0012616	-
h1SMcG0012617	-
h1SMcG0012618	S
h1SMcG0012619	-
h1SMcG0012620	S
h1SMcG0012621	S
h1SMcG0012622	J
h1SMcG0012623	E
h1SMcG0012624	-
h1SMcG0012625	C
h1SMcG0012626	-
h1SMcG0012627	S
h1SMcG0012628	O
h1SMcG0012629	O
h1SMcG0012630	T
h1SMcG0012631	-
h1SMcG0012632	O
h1SMcG0012633	-
h1SMcG0012634	I
h1SMcG0012635	I
h1SMcG0012636	I
h1SMcG0012637	I
h1SMcG0012638	-
h1SMcG0012639	-
h1SMcG0012640	O
h1SMcG0012641	-
h1SMcG0012642	I
h1SMcG0012643	I
h1SMcG0012644	I
h1SMcG0012645	K
h1SMcG0012646	S
h1SMcG0012647	-
h1SMcG0012648	Q
h1SMcG0012649	-
h1SMcG0012650	S
h1SMcG0012651	Q
h1SMcG0012652	-
h1SMcG0012653	I
h1SMcG0012654	-
h1SMcG0012655	L
h1SMcG0012656	T
h1SMcG0012657	-
h1SMcG0012658	P
h1SMcG0012659	-
h1SMcG0012660	-
h1SMcG0012661	T
h1SMcG0012662	T
h1SMcG0012663	C
h1SMcG0012664	S
h1SMcG0012665	U
h1SMcG0012666	-
h1SMcG0012667	-
h1SMcG0012668	-
h1SMcG0012669	Q
h1SMcG0012670	-
h1SMcG0012671	S
h1SMcG0012672	-
h1SMcG0012673	O
h1SMcG0012674	-
h1SMcG0012675	-
h1SMcG0012676	U
h1SMcG0012677	-
h1SMcG0012678	K
h1SMcG0012679	-
h1SMcG0012680	-
h1SMcG0012681	T
h1SMcG0012682	-
h1SMcG0012683	-
h1SMcG0012684	-
h1SMcG0012685	-
h1SMcG0012686	E
h1SMcG0012687	-
h1SMcG0012688	-
h1SMcG0012689	S
h1SMcG0012690	-
h1SMcG0012691	V
h1SMcG0012692	-
h1SMcG0012693	S
h1SMcG0012694	-
h1SMcG0012695	L
h1SMcG0012696	-
h1SMcG0012697	E
h1SMcG0012698	O
h1SMcG0012699	-
h1SMcG0012700	-
h1SMcG0012701	-
h1SMcG0012702	-
h1SMcG0012703	-
h1SMcG0012704	D
h1SMcG0012705	-
h1SMcG0012706	U
h1SMcG0012707	BD
h1SMcG0012708	-
h1SMcG0012709	O
h1SMcG0012710	Z
h1SMcG0012711	-
h1SMcG0012712	-
h1SMcG0012713	A
h1SMcG0012714	-
h1SMcG0012715	T
h1SMcG0012716	I
h1SMcG0012717	Z
h1SMcG0012718	T
h1SMcG0012719	-
h1SMcG0012720	D
h1SMcG0012721	E
h1SMcG0012722	S
h1SMcG0012723	T
h1SMcG0012724	-
h1SMcG0012725	O
h1SMcG0012726	T
h1SMcG0012727	I
h1SMcG0012728	S
h1SMcG0012729	-
h1SMcG0012730	S
h1SMcG0012731	T
h1SMcG0012732	W
h1SMcG0012733	U
h1SMcG0012734	G
h1SMcG0012735	-
h1SMcG0012736	G
h1SMcG0012737	S
h1SMcG0012738	B
h1SMcG0012739	S
h1SMcG0012740	-
h1SMcG0012741	Z
h1SMcG0012742	T
h1SMcG0012743	-
h1SMcG0012744	-
h1SMcG0012745	-
h1SMcG0012746	-
h1SMcG0012747	-
h1SMcG0012748	-
h1SMcG0012749	Z
h1SMcG0012750	K
h1SMcG0012751	P
h1SMcG0012752	-
h1SMcG0012753	-
h1SMcG0012754	E
h1SMcG0012755	-
h1SMcG0012756	S
h1SMcG0012757	E
h1SMcG0012758	-
h1SMcG0012759	T
h1SMcG0012760	S
h1SMcG0012761	I
h1SMcG0012762	S
h1SMcG0012763	IT
h1SMcG0012764	K
h1SMcG0012765	T
h1SMcG0012766	T
h1SMcG0012767	Z
h1SMcG0012768	K
h1SMcG0012769	S
h1SMcG0012770	O
h1SMcG0012771	DTZ
h1SMcG0012772	DTZ
h1SMcG0012773	S
h1SMcG0012774	TZ
h1SMcG0012775	S
h1SMcG0012776	K
h1SMcG0012777	K
h1SMcG0012778	-
h1SMcG0012779	O
h1SMcG0012780	S
h1SMcG0012781	-
h1SMcG0012782	EPT
h1SMcG0012783	U
h1SMcG0012784	-
h1SMcG0012785	U
h1SMcG0012786	EPT
h1SMcG0012787	T
h1SMcG0012788	U
h1SMcG0012789	EPT
h1SMcG0012790	EPT
h1SMcG0012791	U
h1SMcG0012792	U
h1SMcG0012793	-
h1SMcG0012794	P
h1SMcG0012795	-
h1SMcG0012796	-
h1SMcG0012797	-
h1SMcG0012798	U
h1SMcG0012799	U
h1SMcG0012800	EPT
h1SMcG0012801	U
h1SMcG0012802	EPT
h1SMcG0012803	U
h1SMcG0012804	EPT
h1SMcG0012805	A
h1SMcG0012806	A
h1SMcG0012807	-
h1SMcG0012808	S
h1SMcG0012809	O
h1SMcG0012810	C
h1SMcG0012811	-
h1SMcG0012812	K
h1SMcG0012813	O
h1SMcG0012814	-
h1SMcG0012815	Z
h1SMcG0012816	T
h1SMcG0012817	S
h1SMcG0012818	Z
h1SMcG0012819	Z
h1SMcG0012820	-
h1SMcG0012821	A
h1SMcG0012822	-
h1SMcG0012823	T
h1SMcG0012824	O
h1SMcG0012825	B
h1SMcG0012826	S
h1SMcG0012827	B
h1SMcG0012828	T
h1SMcG0012829	C
h1SMcG0012830	O
h1SMcG0012831	L
h1SMcG0012832	-
h1SMcG0012833	S
h1SMcG0012834	S
h1SMcG0012835	E
h1SMcG0012836	L
h1SMcG0012837	-
h1SMcG0012838	DTZ
h1SMcG0012839	K
h1SMcG0012840	D
h1SMcG0012841	-
h1SMcG0012842	S
h1SMcG0012843	-
h1SMcG0012844	-
h1SMcG0012845	-
h1SMcG0012846	S
h1SMcG0012847	A
h1SMcG0012848	A
h1SMcG0012849	-
h1SMcG0012850	A
h1SMcG0012851	P
h1SMcG0012852	C
h1SMcG0012853	EPT
h1SMcG0012854	P
h1SMcG0012855	S
h1SMcG0012856	S
h1SMcG0012857	T
h1SMcG0012858	-
h1SMcG0012859	S
h1SMcG0012860	O
h1SMcG0012861	S
h1SMcG0012862	B
h1SMcG0012863	-
h1SMcG0012864	-
h1SMcG0012865	-
h1SMcG0012866	-
h1SMcG0012867	T
h1SMcG0012868	-
h1SMcG0012869	S
h1SMcG0012870	L
h1SMcG0012871	S
h1SMcG0012872	-
h1SMcG0012873	-
h1SMcG0012874	K
h1SMcG0012875	L
h1SMcG0012876	A
h1SMcG0012877	O
h1SMcG0012878	-
h1SMcG0012879	P
h1SMcG0012880	T
h1SMcG0012881	S
h1SMcG0012882	-
h1SMcG0012883	D
h1SMcG0012884	-
h1SMcG0012885	T
h1SMcG0012886	O
h1SMcG0012887	O
h1SMcG0012888	L
h1SMcG0012889	D
h1SMcG0012890	D
h1SMcG0012891	-
h1SMcG0012892	F
h1SMcG0012893	-
h1SMcG0012894	T
h1SMcG0012895	A
h1SMcG0012896	-
h1SMcG0012897	O
h1SMcG0012898	T
h1SMcG0012899	T
h1SMcG0012900	S
h1SMcG0012901	-
h1SMcG0012902	K
h1SMcG0012903	P
h1SMcG0012904	P
h1SMcG0012905	-
h1SMcG0012906	P
h1SMcG0012907	-
h1SMcG0012908	W
h1SMcG0012909	KL
h1SMcG0012910	-
h1SMcG0012911	-
h1SMcG0012912	-
h1SMcG0012913	V
h1SMcG0012914	V
h1SMcG0012915	V
h1SMcG0012916	Q
h1SMcG0012917	O
h1SMcG0012918	A
h1SMcG0012919	U
h1SMcG0012920	P
h1SMcG0012921	M
h1SMcG0012922	T
h1SMcG0012923	O
h1SMcG0012924	O
h1SMcG0012925	S
h1SMcG0012926	-
h1SMcG0012927	G
h1SMcG0012928	EPT
h1SMcG0012929	S
h1SMcG0012930	OU
h1SMcG0012931	-
h1SMcG0012932	S
h1SMcG0012933	T
h1SMcG0012934	-
h1SMcG0012935	U
h1SMcG0012936	U
h1SMcG0012937	K
h1SMcG0012938	K
h1SMcG0012939	-
h1SMcG0012940	-
h1SMcG0012941	K
h1SMcG0012942	-
h1SMcG0012943	T
h1SMcG0012944	K
h1SMcG0012945	-
h1SMcG0012946	-
h1SMcG0012947	-
h1SMcG0012948	O
h1SMcG0012949	-
h1SMcG0012950	A
h1SMcG0012951	-
h1SMcG0012952	-
h1SMcG0012953	E
h1SMcG0012954	-
h1SMcG0012955	O
h1SMcG0012956	-
h1SMcG0012957	S
h1SMcG0012958	Z
h1SMcG0012959	-
h1SMcG0012960	S
h1SMcG0012961	S
h1SMcG0012962	-
h1SMcG0012963	-
h1SMcG0012964	Z
h1SMcG0012965	S
h1SMcG0012966	Z
h1SMcG0012967	-
h1SMcG0012968	W
h1SMcG0012969	-
h1SMcG0012970	-
h1SMcG0012971	-
h1SMcG0012972	O
h1SMcG0012973	-
h1SMcG0012974	S
h1SMcG0012975	T
h1SMcG0012976	S
h1SMcG0012977	-
h1SMcG0012978	O
h1SMcG0012979	S
h1SMcG0012980	L
h1SMcG0012981	-
h1SMcG0012982	-
h1SMcG0012983	A
h1SMcG0012984	J
h1SMcG0012985	-
h1SMcG0012986	T
h1SMcG0012987	Z
h1SMcG0012988	C
h1SMcG0012989	C
h1SMcG0012990	O
h1SMcG0012991	-
h1SMcG0012992	S
h1SMcG0012993	-
h1SMcG0012994	-
h1SMcG0012995	-
h1SMcG0012996	-
h1SMcG0012997	L
h1SMcG0012998	-
h1SMcG0012999	T
h1SMcG0013000	-
h1SMcG0013001	J
h1SMcG0013002	-
h1SMcG0013003	-
h1SMcG0013004	-
h1SMcG0013005	-
h1SMcG0013006	-
h1SMcG0013007	C
h1SMcG0013008	Z
h1SMcG0013009	S
h1SMcG0013010	T
h1SMcG0013011	A
h1SMcG0013012	T
h1SMcG0013013	O
h1SMcG0013014	G
h1SMcG0013015	C
h1SMcG0013016	S
h1SMcG0013017	-
h1SMcG0013018	O
h1SMcG0013019	-
h1SMcG0013020	S
h1SMcG0013021	F
h1SMcG0013022	-
h1SMcG0013023	U
h1SMcG0013024	O
h1SMcG0013025	-
h1SMcG0013026	U
h1SMcG0013027	-
h1SMcG0013028	P
h1SMcG0013029	P
h1SMcG0013030	J
h1SMcG0013031	-
h1SMcG0013032	S
h1SMcG0013033	J
h1SMcG0013034	G
h1SMcG0013035	-
h1SMcG0013036	-
h1SMcG0013037	T
h1SMcG0013038	S
h1SMcG0013039	T
h1SMcG0013040	-
h1SMcG0013041	-
h1SMcG0013042	O
h1SMcG0013043	-
h1SMcG0013044	A
h1SMcG0013045	-
h1SMcG0013046	K
h1SMcG0013047	O
h1SMcG0013048	K
h1SMcG0013049	E
h1SMcG0013050	-
h1SMcG0013051	-
h1SMcG0013052	-
h1SMcG0013053	-
h1SMcG0013054	C
h1SMcG0013055	E
h1SMcG0013056	-
h1SMcG0013057	-
h1SMcG0013058	E
h1SMcG0013059	I
h1SMcG0013060	-
h1SMcG0013061	I
h1SMcG0013062	-
h1SMcG0013063	-
h1SMcG0013064	E
h1SMcG0013065	-
h1SMcG0013066	-
h1SMcG0013067	-
h1SMcG0013068	-
h1SMcG0013069	-
h1SMcG0013070	-
h1SMcG0013071	-
h1SMcG0013072	-
h1SMcG0013073	S
h1SMcG0013074	-
h1SMcG0013075	E
h1SMcG0013076	-
h1SMcG0013077	B
h1SMcG0013078	-
h1SMcG0013079	H
h1SMcG0013080	A
h1SMcG0013081	-
h1SMcG0013082	-
h1SMcG0013083	-
h1SMcG0013084	K
h1SMcG0013085	S
h1SMcG0013086	-
h1SMcG0013087	S
h1SMcG0013088	S
h1SMcG0013089	S
h1SMcG0013090	-
h1SMcG0013091	-
h1SMcG0013092	-
h1SMcG0013093	-
h1SMcG0013094	U
h1SMcG0013095	-
h1SMcG0013096	-
h1SMcG0013097	-
h1SMcG0013098	-
h1SMcG0013099	-
h1SMcG0013100	-
h1SMcG0013101	-
h1SMcG0013102	EPT
h1SMcG0013103	PT
h1SMcG0013104	PT
h1SMcG0013105	S
h1SMcG0013106	S
h1SMcG0013107	-
h1SMcG0013108	S
h1SMcG0013109	-
h1SMcG0013110	-
h1SMcG0013111	A
h1SMcG0013112	Z
h1SMcG0013113	C
h1SMcG0013114	-
h1SMcG0013115	-
h1SMcG0013116	T
h1SMcG0013117	-
h1SMcG0013118	-
h1SMcG0013119	P
h1SMcG0013120	BD
h1SMcG0013121	S
h1SMcG0013122	S
h1SMcG0013123	I
h1SMcG0013124	L
h1SMcG0013125	-
h1SMcG0013126	S
h1SMcG0013127	I
h1SMcG0013128	-
h1SMcG0013129	J
h1SMcG0013130	-
h1SMcG0013131	-
h1SMcG0013132	P
h1SMcG0013133	G
h1SMcG0013134	G
h1SMcG0013135	C
h1SMcG0013136	P
h1SMcG0013137	-
h1SMcG0013138	P
h1SMcG0013139	-
h1SMcG0013140	-
h1SMcG0013141	S
h1SMcG0013142	P
h1SMcG0013143	-
h1SMcG0013144	PT
h1SMcG0013145	B
h1SMcG0013146	Z
h1SMcG0013147	-
h1SMcG0013148	-
h1SMcG0013149	-
h1SMcG0013150	T
h1SMcG0013151	S
h1SMcG0013152	T
h1SMcG0013153	S
h1SMcG0013154	T
h1SMcG0013155	P
h1SMcG0013156	T
h1SMcG0013157	K
h1SMcG0013158	K
h1SMcG0013159	-
h1SMcG0013160	MOT
h1SMcG0013161	T
h1SMcG0013162	Z
h1SMcG0013163	K
h1SMcG0013164	-
h1SMcG0013165	-
h1SMcG0013166	K
h1SMcG0013167	-
h1SMcG0013168	-
h1SMcG0013169	M
h1SMcG0013170	-
h1SMcG0013171	E
h1SMcG0013172	-
h1SMcG0013173	L
h1SMcG0013174	-
h1SMcG0013175	-
h1SMcG0013176	E
h1SMcG0013177	K
h1SMcG0013178	K
h1SMcG0013179	K
h1SMcG0013180	O
h1SMcG0013181	-
h1SMcG0013182	-
h1SMcG0013183	T
h1SMcG0013184	P
h1SMcG0013185	S
h1SMcG0013186	S
h1SMcG0013187	P
h1SMcG0013188	-
h1SMcG0013189	O
h1SMcG0013190	IN
h1SMcG0013191	Z
h1SMcG0013192	B
h1SMcG0013193	T
h1SMcG0013194	P
h1SMcG0013195	T
h1SMcG0013196	-
h1SMcG0013197	-
h1SMcG0013198	-
h1SMcG0013199	-
h1SMcG0013200	-
h1SMcG0013201	-
h1SMcG0013202	-
h1SMcG0013203	-
h1SMcG0013204	S
h1SMcG0013205	P
h1SMcG0013206	-
h1SMcG0013207	-
h1SMcG0013208	-
h1SMcG0013209	-
h1SMcG0013210	-
h1SMcG0013211	S
h1SMcG0013212	DZ
h1SMcG0013213	P
h1SMcG0013214	-
h1SMcG0013215	P
h1SMcG0013216	-
h1SMcG0013217	P
h1SMcG0013218	T
h1SMcG0013219	Z
h1SMcG0013220	T
h1SMcG0013221	-
h1SMcG0013222	-
h1SMcG0013223	T
h1SMcG0013224	-
h1SMcG0013225	T
h1SMcG0013226	T
h1SMcG0013227	C
h1SMcG0013228	O
h1SMcG0013229	E
h1SMcG0013230	-
h1SMcG0013231	Q
h1SMcG0013232	Z
h1SMcG0013233	-
h1SMcG0013234	-
h1SMcG0013235	S
h1SMcG0013236	S
h1SMcG0013237	S
h1SMcG0013238	-
h1SMcG0013239	K
h1SMcG0013240	-
h1SMcG0013241	Z
h1SMcG0013242	O
h1SMcG0013243	S
h1SMcG0013244	S
h1SMcG0013245	-
h1SMcG0013246	-
h1SMcG0013247	S
h1SMcG0013248	-
h1SMcG0013249	J
h1SMcG0013250	J
h1SMcG0013251	G
h1SMcG0013252	-
h1SMcG0013253	I
h1SMcG0013254	S
h1SMcG0013255	E
h1SMcG0013256	O
h1SMcG0013257	-
h1SMcG0013258	-
h1SMcG0013259	-
h1SMcG0013260	-
h1SMcG0013261	-
h1SMcG0013262	J
h1SMcG0013263	T
h1SMcG0013264	Q
h1SMcG0013265	-
h1SMcG0013266	S
h1SMcG0013267	Q
h1SMcG0013268	Q
h1SMcG0013269	-
h1SMcG0013270	-
h1SMcG0013271	-
h1SMcG0013272	Q
h1SMcG0013273	Q
h1SMcG0013274	-
h1SMcG0013275	E
h1SMcG0013276	E
h1SMcG0013277	E
h1SMcG0013278	E
h1SMcG0013279	Q
h1SMcG0013280	-
h1SMcG0013281	-
h1SMcG0013282	-
h1SMcG0013283	-
h1SMcG0013284	O
h1SMcG0013285	-
h1SMcG0013286	E
h1SMcG0013287	O
h1SMcG0013288	Z
h1SMcG0013289	E
h1SMcG0013290	S
h1SMcG0013291	E
h1SMcG0013292	-
h1SMcG0013293	-
h1SMcG0013294	S
h1SMcG0013295	-
h1SMcG0013296	-
h1SMcG0013297	T
h1SMcG0013298	C
h1SMcG0013299	T
h1SMcG0013300	E
h1SMcG0013301	E
h1SMcG0013302	Z
h1SMcG0013303	TV
h1SMcG0013304	-
h1SMcG0013305	S
h1SMcG0013306	S
h1SMcG0013307	U
h1SMcG0013308	U
h1SMcG0013309	U
h1SMcG0013310	-
h1SMcG0013311	-
h1SMcG0013312	S
h1SMcG0013313	U
h1SMcG0013314	-
h1SMcG0013315	U
h1SMcG0013316	D
h1SMcG0013317	-
h1SMcG0013318	-
h1SMcG0013319	-
h1SMcG0013320	-
h1SMcG0013321	O
h1SMcG0013322	-
h1SMcG0013323	T
h1SMcG0013324	C
h1SMcG0013325	U
h1SMcG0013326	P
h1SMcG0013327	P
h1SMcG0013328	S
h1SMcG0013329	U
h1SMcG0013330	K
h1SMcG0013331	A
h1SMcG0013332	-
h1SMcG0013333	U
h1SMcG0013334	G
h1SMcG0013335	K
h1SMcG0013336	S
h1SMcG0013337	A
h1SMcG0013338	S
h1SMcG0013339	-
h1SMcG0013340	K
h1SMcG0013341	T
h1SMcG0013342	-
h1SMcG0013343	-
h1SMcG0013344	T
h1SMcG0013345	S
h1SMcG0013346	-
h1SMcG0013347	S
h1SMcG0013348	-
h1SMcG0013349	S
h1SMcG0013350	-
h1SMcG0013351	-
h1SMcG0013352	C
h1SMcG0013353	C
h1SMcG0013354	T
h1SMcG0013355	T
h1SMcG0013356	-
h1SMcG0013357	-
h1SMcG0013358	E
h1SMcG0013359	-
h1SMcG0013360	I
h1SMcG0013361	P
h1SMcG0013362	-
h1SMcG0013363	K
h1SMcG0013364	S
h1SMcG0013365	-
h1SMcG0013366	C
h1SMcG0013367	OT
h1SMcG0013368	S
h1SMcG0013369	T
h1SMcG0013370	O
h1SMcG0013371	B
h1SMcG0013372	O
h1SMcG0013373	T
h1SMcG0013374	S
h1SMcG0013375	-
h1SMcG0013376	J
h1SMcG0013377	S
h1SMcG0013378	O
h1SMcG0013379	I
h1SMcG0013380	PT
h1SMcG0013381	PT
h1SMcG0013382	P
h1SMcG0013383	T
h1SMcG0013384	PT
h1SMcG0013385	PT
h1SMcG0013386	PT
h1SMcG0013387	-
h1SMcG0013388	T
h1SMcG0013389	-
h1SMcG0013390	U
h1SMcG0013391	C
h1SMcG0013392	O
h1SMcG0013393	F
h1SMcG0013394	E
h1SMcG0013395	-
h1SMcG0013396	G
h1SMcG0013397	G
h1SMcG0013398	F
h1SMcG0013399	S
h1SMcG0013400	S
h1SMcG0013401	E
h1SMcG0013402	-
h1SMcG0013403	J
h1SMcG0013404	D
h1SMcG0013405	-
h1SMcG0013406	T
h1SMcG0013407	-
h1SMcG0013408	S
h1SMcG0013409	M
h1SMcG0013410	-
h1SMcG0013411	-
h1SMcG0013412	-
h1SMcG0013413	P
h1SMcG0013414	-
h1SMcG0013415	T
h1SMcG0013416	S
h1SMcG0013417	S
h1SMcG0013418	-
h1SMcG0013419	Z
h1SMcG0013420	I
h1SMcG0013421	-
h1SMcG0013422	-
h1SMcG0013423	S
h1SMcG0013424	S
h1SMcG0013425	L
h1SMcG0013426	-
h1SMcG0013427	-
h1SMcG0013428	S
h1SMcG0013429	-
h1SMcG0013430	S
h1SMcG0013431	S
h1SMcG0013432	S
h1SMcG0013433	T
h1SMcG0013434	S
h1SMcG0013435	D
h1SMcG0013436	S
h1SMcG0013437	A
h1SMcG0013438	T
h1SMcG0013439	S
h1SMcG0013440	-
h1SMcG0013441	OT
h1SMcG0013442	OT
h1SMcG0013443	O
h1SMcG0013444	-
h1SMcG0013445	Z
h1SMcG0013446	T
h1SMcG0013447	S
h1SMcG0013448	-
h1SMcG0013449	S
h1SMcG0013450	O
h1SMcG0013451	T
h1SMcG0013452	Z
h1SMcG0013453	-
h1SMcG0013454	L
h1SMcG0013455	C
h1SMcG0013456	C
h1SMcG0013457	G
h1SMcG0013458	-
h1SMcG0013459	-
h1SMcG0013460	-
h1SMcG0013461	-
h1SMcG0013462	M
h1SMcG0013463	-
h1SMcG0013464	-
h1SMcG0013465	-
h1SMcG0013466	-
h1SMcG0013467	-
h1SMcG0013468	E
h1SMcG0013469	-
h1SMcG0013470	-
h1SMcG0013471	-
h1SMcG0013472	-
h1SMcG0013473	-
h1SMcG0013474	K
h1SMcG0013475	-
h1SMcG0013476	E
h1SMcG0013477	K
h1SMcG0013478	E
h1SMcG0013479	S
h1SMcG0013480	T
h1SMcG0013481	J
h1SMcG0013482	-
h1SMcG0013483	M
h1SMcG0013484	S
h1SMcG0013485	S
h1SMcG0013486	-
h1SMcG0013487	-
h1SMcG0013488	S
h1SMcG0013489	C
h1SMcG0013490	O
h1SMcG0013491	E
h1SMcG0013492	Z
h1SMcG0013493	T
h1SMcG0013494	-
h1SMcG0013495	-
h1SMcG0013496	-
h1SMcG0013497	Z
h1SMcG0013498	-
h1SMcG0013499	G
h1SMcG0013500	-
h1SMcG0013501	J
h1SMcG0013502	-
h1SMcG0013503	-
h1SMcG0013504	I
h1SMcG0013505	-
h1SMcG0013506	-
h1SMcG0013507	T
h1SMcG0013508	-
h1SMcG0013509	-
h1SMcG0013510	S
h1SMcG0013511	E
h1SMcG0013512	S
h1SMcG0013513	T
h1SMcG0013514	H
h1SMcG0013515	T
h1SMcG0013516	S
h1SMcG0013517	S
h1SMcG0013518	A
h1SMcG0013519	E
h1SMcG0013520	-
h1SMcG0013521	S
h1SMcG0013522	-
h1SMcG0013523	-
h1SMcG0013524	-
h1SMcG0013525	A
h1SMcG0013526	P
h1SMcG0013527	-
h1SMcG0013528	-
h1SMcG0013529	O
h1SMcG0013530	C
h1SMcG0013531	U
h1SMcG0013532	A
h1SMcG0013533	K
h1SMcG0013534	S
h1SMcG0013535	-
h1SMcG0013536	C
h1SMcG0013537	BD
h1SMcG0013538	H
h1SMcG0013539	T
h1SMcG0013540	J
h1SMcG0013541	O
h1SMcG0013542	-
h1SMcG0013543	-
h1SMcG0013544	-
h1SMcG0013545	-
h1SMcG0013546	-
h1SMcG0013547	-
h1SMcG0013548	J
h1SMcG0013549	S
h1SMcG0013550	J
h1SMcG0013551	O
h1SMcG0013552	O
h1SMcG0013553	-
h1SMcG0013554	-
h1SMcG0013555	-
h1SMcG0013556	Z
h1SMcG0013557	Z
h1SMcG0013558	O
h1SMcG0013559	Z
h1SMcG0013560	B
h1SMcG0013561	-
h1SMcG0013562	-
h1SMcG0013563	B
h1SMcG0013564	-
h1SMcG0013565	T
h1SMcG0013566	-
h1SMcG0013567	-
h1SMcG0013568	U
h1SMcG0013569	K
h1SMcG0013570	-
h1SMcG0013571	T
h1SMcG0013572	-
h1SMcG0013573	O
h1SMcG0013574	-
h1SMcG0013575	U
h1SMcG0013576	-
h1SMcG0013577	S
h1SMcG0013578	S
h1SMcG0013579	Z
h1SMcG0013580	Z
h1SMcG0013581	W
h1SMcG0013582	-
h1SMcG0013583	-
h1SMcG0013584	-
h1SMcG0013585	V
h1SMcG0013586	-
h1SMcG0013587	PT
h1SMcG0013588	-
h1SMcG0013589	-
h1SMcG0013590	-
h1SMcG0013591	Z
h1SMcG0013592	-
h1SMcG0013593	S
h1SMcG0013594	K
h1SMcG0013595	T
h1SMcG0013596	T
h1SMcG0013597	O
h1SMcG0013598	-
h1SMcG0013599	-
h1SMcG0013600	O
h1SMcG0013601	TU
h1SMcG0013602	-
h1SMcG0013603	L
h1SMcG0013604	-
h1SMcG0013605	S
h1SMcG0013606	-
h1SMcG0013607	-
h1SMcG0013608	O
h1SMcG0013609	O
h1SMcG0013610	T
h1SMcG0013611	-
h1SMcG0013612	-
h1SMcG0013613	-
h1SMcG0013614	E
h1SMcG0013615	-
h1SMcG0013616	T
h1SMcG0013617	-
h1SMcG0013618	Z
h1SMcG0013619	-
h1SMcG0013620	K
h1SMcG0013621	O
h1SMcG0013622	O
h1SMcG0013623	-
h1SMcG0013624	-
h1SMcG0013625	-
h1SMcG0013626	-
h1SMcG0013627	-
h1SMcG0013628	O
h1SMcG0013629	-
h1SMcG0013630	-
h1SMcG0013631	T
h1SMcG0013632	-
h1SMcG0013633	EF
h1SMcG0013634	-
h1SMcG0013635	U
h1SMcG0013636	K
h1SMcG0013637	S
h1SMcG0013638	-
h1SMcG0013639	J
h1SMcG0013640	-
h1SMcG0013641	L
h1SMcG0013642	L
h1SMcG0013643	T
h1SMcG0013644	P
h1SMcG0013645	-
h1SMcG0013646	-
h1SMcG0013647	-
h1SMcG0013648	-
h1SMcG0013649	-
h1SMcG0013650	-
h1SMcG0013651	-
h1SMcG0013652	-
h1SMcG0013653	-
h1SMcG0013654	-
h1SMcG0013655	-
h1SMcG0013656	-
h1SMcG0013657	-
h1SMcG0013658	ABO
h1SMcG0013659	O
h1SMcG0013660	K
h1SMcG0013661	D
h1SMcG0013662	-
h1SMcG0013663	S
h1SMcG0013664	TZ
h1SMcG0013665	Y
h1SMcG0013666	-
h1SMcG0013667	-
h1SMcG0013668	S
h1SMcG0013669	C
h1SMcG0013670	V
h1SMcG0013671	O
h1SMcG0013672	-
h1SMcG0013673	-
h1SMcG0013674	-
h1SMcG0013675	-
h1SMcG0013676	-
h1SMcG0013677	-
h1SMcG0013678	P
h1SMcG0013679	-
h1SMcG0013680	S
h1SMcG0013681	-
h1SMcG0013682	S
h1SMcG0013683	U
h1SMcG0013684	-
h1SMcG0013685	-
h1SMcG0013686	I
h1SMcG0013687	S
h1SMcG0013688	-
h1SMcG0013689	U
h1SMcG0013690	-
h1SMcG0013691	S
h1SMcG0013692	T
h1SMcG0013693	A
h1SMcG0013694	-
h1SMcG0013695	-
h1SMcG0013696	-
h1SMcG0013697	-
h1SMcG0013698	F
